model,calib_size,seed,fp32_accuracy,int8_accuracy,accuracy_drop,ece,model_size_mb,latency_ms
resnet50,500,123,75.88,75.32,0.56,0.042157,24.956,908.713
mobilenet_v2,500,42,71.0,31.14,39.86,0.237066,4.049,479.661
mobilenet_v2,5000,1024,71.0,33.06,37.94,0.220139,4.049,514.191
resnet50,100,1024,75.88,75.32,0.56,0.044496,24.956,884.531
mobilenet_v2,1000,456,71.0,38.62,32.38,0.223724,4.049,488.959
resnet18,50,789,69.06,68.66,0.4,0.035942,11.292,359.602
resnet18,100,42,69.06,68.92,0.14,0.035433,11.292,362.634
mobilenet_v2,100,1024,71.0,32.48,38.52,0.236402,4.049,492.739
resnet50,500,1024,75.88,75.58,0.3,0.039732,24.956,914.187
resnet18,50,1024,69.06,68.82,0.24,0.032182,11.292,368.721
mobilenet_v2,10,789,71.0,59.6,11.4,0.057693,4.049,446.132
resnet50,10,789,75.88,75.66,0.22,0.044681,24.956,919.663
resnet50,500,42,75.88,75.64,0.24,0.039477,24.956,899.756
resnet50,50,42,75.88,75.58,0.3,0.040981,24.956,883.999
mobilenet_v2,50,42,71.0,35.3,35.7,0.179926,4.049,454.278
resnet50,5000,123,75.88,75.84,0.04,0.040361,24.956,903.021
resnet50,1000,1024,75.88,75.52,0.36,0.04097,24.956,887.516
resnet18,50,123,69.06,68.7,0.36,0.036069,11.292,360.937
resnet18,500,123,69.06,68.88,0.18,0.03204,11.292,360.117
mobilenet_v2,50,789,71.0,31.66,39.34,0.268726,4.049,459.456
resnet50,50,123,75.88,75.5,0.38,0.042471,24.956,912.838
mobilenet_v2,5000,456,71.0,33.98,37.02,0.199614,4.049,488.873
resnet18,10,789,69.06,69.08,-0.02,0.035625,11.292,363.648
mobilenet_v2,5000,789,71.0,35.82,35.18,0.230874,4.049,499.157
mobilenet_v2,5000,42,71.0,36.4,34.6,0.211349,4.049,521.41
resnet50,50,789,75.88,75.72,0.16,0.043616,24.956,893.257
mobilenet_v2,10,42,71.0,51.78,19.22,0.124751,4.049,390.802
resnet18,500,42,69.06,68.96,0.1,0.031154,11.292,367.741
resnet50,100,123,75.88,75.38,0.5,0.042778,24.956,894.659
resnet18,5000,789,69.06,68.88,0.18,0.035162,11.292,364.022
resnet50,50,456,75.88,75.62,0.26,0.040527,24.956,985.268
mobilenet_v2,1000,123,71.0,34.34,36.66,0.208736,4.049,475.861
resnet50,5000,456,75.88,75.58,0.3,0.043595,24.956,908.177
resnet50,5000,789,75.88,75.46,0.42,0.042187,24.956,940.348
resnet50,500,456,75.88,75.72,0.16,0.041841,24.956,894.672
