model,calib_size,fp32_accuracy_mean,fp32_accuracy_std,int8_accuracy_mean,int8_accuracy_std,accuracy_drop_mean,accuracy_drop_std,ece_mean,ece_std,model_size_mb_mean,model_size_mb_std,latency_ms_mean,latency_ms_std
mobilenet_v2,10,71.0,0.0,50.708,10.4981,20.292,10.4981,0.128,0.0841,4.049,0.0,438.6038,27.2255
mobilenet_v2,50,71.0,0.0,35.212,3.3909,35.788,3.3909,0.2093,0.0436,4.049,0.0,456.1228,3.953
mobilenet_v2,100,71.0,0.0,33.992,1.9174,37.008,1.9174,0.2225,0.0279,4.049,0.0,482.7794,20.3306
mobilenet_v2,500,71.0,0.0,35.884,2.6761,35.116,2.6761,0.1976,0.0397,4.049,0.0,490.6298,7.7714
mobilenet_v2,1000,71.0,0.0,34.568,2.5647,36.432,2.5647,0.2204,0.0251,4.049,0.0,485.8648,7.4543
mobilenet_v2,5000,71.0,0.0,34.868,1.3561,36.132,1.3561,0.2044,0.0274,4.049,0.0,509.3682,14.8676
resnet18,10,69.06,0.0,68.932,0.118,0.128,0.118,0.0332,0.002,11.292,0.0,366.222,7.4581
resnet18,50,69.06,0.0,68.784,0.1099,0.276,0.1099,0.0343,0.0022,11.292,0.0,362.9894,3.7958
resnet18,100,69.06,0.0,68.804,0.1292,0.256,0.1292,0.0347,0.0016,11.292,0.0,368.0158,3.3896
resnet18,500,69.06,0.0,68.856,0.1033,0.204,0.1033,0.0322,0.0014,11.292,0.0,368.259,5.4504
resnet18,1000,69.06,0.0,68.912,0.2225,0.148,0.2225,0.0332,0.0024,11.292,0.0,365.9426,6.166
resnet18,5000,69.06,0.0,68.84,0.1364,0.22,0.1364,0.0344,0.001,11.292,0.0,374.6156,8.0853
resnet50,10,75.88,0.0,75.472,0.1197,0.408,0.1197,0.0423,0.0026,24.956,0.0,878.245,41.0593
resnet50,50,75.88,0.0,75.592,0.0844,0.288,0.0844,0.0426,0.0019,24.956,0.0,912.7408,42.0155
resnet50,100,75.88,0.0,75.476,0.1532,0.404,0.1532,0.0428,0.0012,24.956,0.0,898.344,13.4822
resnet50,500,75.88,0.0,75.612,0.1831,0.268,0.1831,0.0407,0.0012,24.956,0.0,905.2268,7.8515
resnet50,1000,75.88,0.0,75.536,0.1571,0.344,0.1571,0.0424,0.0023,24.956,0.0,903.9818,22.5665
resnet50,5000,75.88,0.0,75.536,0.2247,0.344,0.2247,0.0419,0.0012,24.956,0.0,926.7398,19.8879
